teryt_powiat,powiat,rok,typ,miara,populacja,zrodlo_var_id,zrodlo_url,pobrano
011212009000,Powiat myślenicki,2023,historyczny,wiek_poprodukcyjny,24390,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212009000,Powiat myślenicki,2024,historyczny,wiek_poprodukcyjny,25021,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212014000,Powiat proszowicki,2015,historyczny,wiek_poprodukcyjny,8606,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212014000,Powiat proszowicki,2016,historyczny,wiek_poprodukcyjny,8774,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212014000,Powiat proszowicki,2017,historyczny,wiek_poprodukcyjny,8920,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212014000,Powiat proszowicki,2018,historyczny,wiek_poprodukcyjny,9161,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212014000,Powiat proszowicki,2019,historyczny,wiek_poprodukcyjny,9297,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212014000,Powiat proszowicki,2020,historyczny,wiek_poprodukcyjny,9497,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212014000,Powiat proszowicki,2021,historyczny,wiek_poprodukcyjny,9586,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212014000,Powiat proszowicki,2022,historyczny,wiek_poprodukcyjny,9700,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212014000,Powiat proszowicki,2023,historyczny,wiek_poprodukcyjny,9823,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212014000,Powiat proszowicki,2024,historyczny,wiek_poprodukcyjny,10010,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212019000,Powiat wielicki,2015,historyczny,wiek_poprodukcyjny,19655,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212019000,Powiat wielicki,2016,historyczny,wiek_poprodukcyjny,20367,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212019000,Powiat wielicki,2017,historyczny,wiek_poprodukcyjny,21130,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212019000,Powiat wielicki,2018,historyczny,wiek_poprodukcyjny,21972,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212019000,Powiat wielicki,2019,historyczny,wiek_poprodukcyjny,22778,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212019000,Powiat wielicki,2020,historyczny,wiek_poprodukcyjny,24024,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212019000,Powiat wielicki,2021,historyczny,wiek_poprodukcyjny,24597,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212019000,Powiat wielicki,2022,historyczny,wiek_poprodukcyjny,25237,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212019000,Powiat wielicki,2023,historyczny,wiek_poprodukcyjny,25909,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212019000,Powiat wielicki,2024,historyczny,wiek_poprodukcyjny,26468,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212161000,Powiat m. Kraków,2015,historyczny,wiek_poprodukcyjny,168373,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212161000,Powiat m. Kraków,2016,historyczny,wiek_poprodukcyjny,173425,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212161000,Powiat m. Kraków,2017,historyczny,wiek_poprodukcyjny,177436,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212161000,Powiat m. Kraków,2018,historyczny,wiek_poprodukcyjny,181160,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212161000,Powiat m. Kraków,2019,historyczny,wiek_poprodukcyjny,184173,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212161000,Powiat m. Kraków,2020,historyczny,wiek_poprodukcyjny,178586,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212161000,Powiat m. Kraków,2021,historyczny,wiek_poprodukcyjny,178979,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212161000,Powiat m. Kraków,2022,historyczny,wiek_poprodukcyjny,179622,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212161000,Powiat m. Kraków,2023,historyczny,wiek_poprodukcyjny,180689,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212161000,Powiat m. Kraków,2024,historyczny,wiek_poprodukcyjny,181951,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212205000,Powiat gorlicki,2015,historyczny,wiek_poprodukcyjny,19466,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212205000,Powiat gorlicki,2016,historyczny,wiek_poprodukcyjny,19983,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212205000,Powiat gorlicki,2017,historyczny,wiek_poprodukcyjny,20480,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212205000,Powiat gorlicki,2018,historyczny,wiek_poprodukcyjny,21027,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212205000,Powiat gorlicki,2019,historyczny,wiek_poprodukcyjny,21585,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212205000,Powiat gorlicki,2020,historyczny,wiek_poprodukcyjny,22072,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212205000,Powiat gorlicki,2021,historyczny,wiek_poprodukcyjny,22343,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212205000,Powiat gorlicki,2022,historyczny,wiek_poprodukcyjny,22782,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212205000,Powiat gorlicki,2023,historyczny,wiek_poprodukcyjny,23222,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212205000,Powiat gorlicki,2024,historyczny,wiek_poprodukcyjny,23690,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212207000,Powiat limanowski,2015,historyczny,wiek_poprodukcyjny,18990,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212207000,Powiat limanowski,2016,historyczny,wiek_poprodukcyjny,19444,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212207000,Powiat limanowski,2017,historyczny,wiek_poprodukcyjny,19875,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212207000,Powiat limanowski,2018,historyczny,wiek_poprodukcyjny,20374,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212207000,Powiat limanowski,2019,historyczny,wiek_poprodukcyjny,20837,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212207000,Powiat limanowski,2020,historyczny,wiek_poprodukcyjny,21427,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
