id,typ,city,name,status,old_website,new_website,action
74,CUS,grybow,"Gminne Centrum Usług Społecznych w Grybowie",BROKEN,https://gcus.gminagrybow.pl,,VERIFY
84,MOPS,krakow-podgorze,"Miejski Ośrodek Pomocy Społecznej w Krakowie",BROKEN,https://www.mops.krakow.pl,,VERIFY
85,MOPS,nowy sacz,"Miejski Ośrodek Pomocy Społecznej  w Nowym Sączu",BROKEN,https://mops.nowysacz.pl/mops/kontakt/,,VERIFY
106,GOPS,kocmyrzow-luborzyca,"Gminny Ośrodek Pomocy Społecznej w Kocmyrzowie-Luborzycy",BROKEN,https://kocmyrzow-luborzyca.gopsinfo.pl,,VERIFY
109,GOPS,suloszowa,"Gminny Ośrodek Pomocy Społecznej w Sułoszowej",BROKEN,https://www.suloszowa.naszops.pl,,VERIFY
138,GOPS,lipnica wielka,"Ośrodek Pomocy Społecznej w Lipnicy Wielkiej",BROKEN,https://www.lipnicawielka.pl/ops,,VERIFY
141,GOPS,rabka-zdroj,"Ośrodek Pomocy Społecznej w Rabce-Zdroju",BROKEN,https://www.ops.rabka.pl,,VERIFY
142,GOPS,szaflary,"Gminny Ośrodek Pomocy Społecznej w Szaflarach",BROKEN,https://www.gops.szaflary.pl,,VERIFY
146,GOPS,bukowno,"Miejski Ośrodek Pomocy Społecznej w Bukownie",BROKEN,https://mopsbukowno.pl/,,VERIFY
151,GOPS,zator,"Ośrodek Pomocy Społecznej w Zatorze",BROKEN,https://www.opszator.pl,,VERIFY
153,GOPS,proszowice,"Miejsko-Gminny Ośrodek Pomocy Społecznej w Proszowicach",BROKEN,https://www.mgops.proszowice.pl,,VERIFY
165,GOPS,wojnicz,"Gminny Ośrodek Pomocy Społecznej w Wojniczu",BROKEN,https://www.gops.wojnicz.pl,,VERIFY
171,GOPS,poronin,"Ośrodek Pomocy Społecznej w Poroninie",BROKEN,https://www.ops.poronin.pl,,VERIFY
179,GOPS,klaj,"Gminny Ośrodek Pomocy Społecznej w Kłaju",BROKEN,https://gopsklaj.pl,,VERIFY
98,GOPS,greboszow,"Gminny Ośrodek Pomocy Społecznej w Gręboszowie",HTTP_REDIRECT,http://gops.greboszow.pl/,https://gops.greboszow.pl/,UPDATE
112,GOPS,zielonki,"Gminny Ośrodek Pomocy Społecznej w Zielonkach",HTTP_REDIRECT,http://www.gopszielonki.naszops.pl/,https://gopszielonki.naszops.pl/public/,UPDATE
131,GOPS,muszyna,"Ośrodek Pomocy Społecznej w Muszynie",HTTP_REDIRECT,http://www.opsmuszyna.naszops.pl/,https://www.opsmuszyna.naszops.pl/,UPDATE
147,GOPS,olkusz,"Ośrodek Pomocy Społecznej w Olkuszu",HTTP_REDIRECT,http://ops.olkusz.pl/kontakt/,https://ops.olkusz.pl/kontakt/,UPDATE
161,GOPS,radlow,"Miejsko-Gminny Ośrodek Pomocy Społecznej w Radłowie",HTTP_REDIRECT,http://opsradlow.pl/,http://www.opsradlow.pl/,UPDATE
162,GOPS,szerzyny,"Gminny Ośrodek Pomocy Społecznej w Szerzynach",HTTP_REDIRECT,http://szerzyny.pl,https://szerzyny.pl/,UPDATE
72,CUS,mogilany,"Centrum Usług Społecznych w Mogilanach",FOUND_NEW,,https://cus.mogilany.pl,INSERT
90,GOPS,lapanow,"Gminny Ośrodek Pomocy Społecznej w Łapanowie",FOUND_NEW,,https://lapanow.naszops.pl,INSERT
104,GOPS,czernichow,"Gminny Ośrodek Pomocy Społecznej w Czernichowie",FOUND_NEW,,https://gops.czernichow.pl,INSERT
108,GOPS,michalowice,"Gminny Ośrodek Pomocy Społecznej w Michałowicach",FOUND_NEW,,https://gops.michalowice.pl,INSERT
181,GOPS,rzezawa,"Gminny Ośrodek Pomocy Społecznej Rzezawa",FOUND_NEW,,https://gops.rzezawa.pl,INSERT
182,GOPS,czchow,"Miejski Ośrodek Pomocy Społecznej i Świadczeń Rodzinnych w Czchowie",FOUND_NEW,,https://czchow.naszops.pl,INSERT
184,GOPS,gnojnik,"Gminny Ośrodek Pomocy Społecznej Gnojnik",FOUND_NEW,,https://gnojnik.naszops.pl,INSERT
185,GOPS,iwkowa,"GOPS Iwkowa",FOUND_NEW,,https://gops.iwkowa.pl,INSERT
191,GOPS,olesno,"Gminny Ośrodek Pomocy Społecznej Olesno",FOUND_NEW,,https://olesno.naszops.pl,INSERT
192,GOPS,radgoszcz,"GOPS Radgoszcz",FOUND_NEW,,https://gops.radgoszcz.pl,INSERT
