teryt_powiat,powiat,rok,typ,miara,populacja
011212205000,Powiat gorlicki,2017,historyczny,wiek_poprodukcyjny_ogołem,20480
011212205000,Powiat gorlicki,2018,historyczny,wiek_poprodukcyjny_ogołem,21027
011212205000,Powiat gorlicki,2019,historyczny,wiek_poprodukcyjny_ogołem,21585
011212205000,Powiat gorlicki,2020,historyczny,wiek_poprodukcyjny_ogołem,22072
011212205000,Powiat gorlicki,2021,historyczny,wiek_poprodukcyjny_ogołem,22343
011212205000,Powiat gorlicki,2022,historyczny,wiek_poprodukcyjny_ogołem,22782
011212205000,Powiat gorlicki,2023,historyczny,wiek_poprodukcyjny_ogołem,23222
011212205000,Powiat gorlicki,2024,historyczny,wiek_poprodukcyjny_ogołem,23690
011212207000,Powiat limanowski,2015,historyczny,wiek_poprodukcyjny_ogołem,18990
011212207000,Powiat limanowski,2016,historyczny,wiek_poprodukcyjny_ogołem,19444
011212207000,Powiat limanowski,2017,historyczny,wiek_poprodukcyjny_ogołem,19875
011212207000,Powiat limanowski,2018,historyczny,wiek_poprodukcyjny_ogołem,20374
011212207000,Powiat limanowski,2019,historyczny,wiek_poprodukcyjny_ogołem,20837
011212207000,Powiat limanowski,2020,historyczny,wiek_poprodukcyjny_ogołem,21427
011212207000,Powiat limanowski,2021,historyczny,wiek_poprodukcyjny_ogołem,21756
011212207000,Powiat limanowski,2022,historyczny,wiek_poprodukcyjny_ogołem,22290
011212207000,Powiat limanowski,2023,historyczny,wiek_poprodukcyjny_ogołem,22906
011212207000,Powiat limanowski,2024,historyczny,wiek_poprodukcyjny_ogołem,23530
011212210000,Powiat nowosądecki,2015,historyczny,wiek_poprodukcyjny_ogołem,30723
011212210000,Powiat nowosądecki,2016,historyczny,wiek_poprodukcyjny_ogołem,31443
011212210000,Powiat nowosądecki,2017,historyczny,wiek_poprodukcyjny_ogołem,32250
011212210000,Powiat nowosądecki,2018,historyczny,wiek_poprodukcyjny_ogołem,33106
011212210000,Powiat nowosądecki,2019,historyczny,wiek_poprodukcyjny_ogołem,33976
011212210000,Powiat nowosądecki,2020,historyczny,wiek_poprodukcyjny_ogołem,34986
011212210000,Powiat nowosądecki,2021,historyczny,wiek_poprodukcyjny_ogołem,35666
011212210000,Powiat nowosądecki,2022,historyczny,wiek_poprodukcyjny_ogołem,36579
011212210000,Powiat nowosądecki,2023,historyczny,wiek_poprodukcyjny_ogołem,37575
011212210000,Powiat nowosądecki,2024,historyczny,wiek_poprodukcyjny_ogołem,38800
011212262000,Powiat m. Nowy Sącz,2015,historyczny,wiek_poprodukcyjny_ogołem,16127
011212262000,Powiat m. Nowy Sącz,2016,historyczny,wiek_poprodukcyjny_ogołem,16637
011212262000,Powiat m. Nowy Sącz,2017,historyczny,wiek_poprodukcyjny_ogołem,17118
011212262000,Powiat m. Nowy Sącz,2018,historyczny,wiek_poprodukcyjny_ogołem,17642
011212262000,Powiat m. Nowy Sącz,2019,historyczny,wiek_poprodukcyjny_ogołem,18097
011212262000,Powiat m. Nowy Sącz,2020,historyczny,wiek_poprodukcyjny_ogołem,18174
011212262000,Powiat m. Nowy Sącz,2021,historyczny,wiek_poprodukcyjny_ogołem,18355
011212262000,Powiat m. Nowy Sącz,2022,historyczny,wiek_poprodukcyjny_ogołem,18777
011212262000,Powiat m. Nowy Sącz,2023,historyczny,wiek_poprodukcyjny_ogołem,19228
011212262000,Powiat m. Nowy Sącz,2024,historyczny,wiek_poprodukcyjny_ogołem,19578
011212303000,Powiat chrzanowski,2015,historyczny,wiek_poprodukcyjny_ogołem,26465
011212303000,Powiat chrzanowski,2016,historyczny,wiek_poprodukcyjny_ogołem,27153
011212303000,Powiat chrzanowski,2017,historyczny,wiek_poprodukcyjny_ogołem,28059
011212303000,Powiat chrzanowski,2018,historyczny,wiek_poprodukcyjny_ogołem,28867
011212303000,Powiat chrzanowski,2019,historyczny,wiek_poprodukcyjny_ogołem,29586
011212303000,Powiat chrzanowski,2020,historyczny,wiek_poprodukcyjny_ogołem,29894
011212303000,Powiat chrzanowski,2021,historyczny,wiek_poprodukcyjny_ogołem,30176
011212303000,Powiat chrzanowski,2022,historyczny,wiek_poprodukcyjny_ogołem,30588
011212303000,Powiat chrzanowski,2023,historyczny,wiek_poprodukcyjny_ogołem,31074
011212303000,Powiat chrzanowski,2024,historyczny,wiek_poprodukcyjny_ogołem,31519
011212312000,Powiat olkuski,2015,historyczny,wiek_poprodukcyjny_ogołem,23708
011212312000,Powiat olkuski,2016,historyczny,wiek_poprodukcyjny_ogołem,24545
011212312000,Powiat olkuski,2017,historyczny,wiek_poprodukcyjny_ogołem,25368
011212312000,Powiat olkuski,2018,historyczny,wiek_poprodukcyjny_ogołem,26091
011212312000,Powiat olkuski,2019,historyczny,wiek_poprodukcyjny_ogołem,26656
011212312000,Powiat olkuski,2020,historyczny,wiek_poprodukcyjny_ogołem,27080
011212312000,Powiat olkuski,2021,historyczny,wiek_poprodukcyjny_ogołem,27275
011212312000,Powiat olkuski,2022,historyczny,wiek_poprodukcyjny_ogołem,27659
011212312000,Powiat olkuski,2023,historyczny,wiek_poprodukcyjny_ogołem,28078
011212312000,Powiat olkuski,2024,historyczny,wiek_poprodukcyjny_ogołem,28395
011212313000,Powiat oświęcimski,2015,historyczny,wiek_poprodukcyjny_ogołem,31011
011212313000,Powiat oświęcimski,2016,historyczny,wiek_poprodukcyjny_ogołem,31989
011212313000,Powiat oświęcimski,2017,historyczny,wiek_poprodukcyjny_ogołem,32793
011212313000,Powiat oświęcimski,2018,historyczny,wiek_poprodukcyjny_ogołem,33621
011212313000,Powiat oświęcimski,2019,historyczny,wiek_poprodukcyjny_ogołem,34359
011212313000,Powiat oświęcimski,2020,historyczny,wiek_poprodukcyjny_ogołem,34872
011212313000,Powiat oświęcimski,2021,historyczny,wiek_poprodukcyjny_ogołem,35103
011212313000,Powiat oświęcimski,2022,historyczny,wiek_poprodukcyjny_ogołem,35581
011212313000,Powiat oświęcimski,2023,historyczny,wiek_poprodukcyjny_ogołem,36213
011212313000,Powiat oświęcimski,2024,historyczny,wiek_poprodukcyjny_ogołem,36795
011212318000,Powiat wadowicki,2015,historyczny,wiek_poprodukcyjny_ogołem,27782
011212318000,Powiat wadowicki,2016,historyczny,wiek_poprodukcyjny_ogołem,28563
011212318000,Powiat wadowicki,2017,historyczny,wiek_poprodukcyjny_ogołem,29256
011212318000,Powiat wadowicki,2018,historyczny,wiek_poprodukcyjny_ogołem,29965
011212318000,Powiat wadowicki,2019,historyczny,wiek_poprodukcyjny_ogołem,30700
011212318000,Powiat wadowicki,2020,historyczny,wiek_poprodukcyjny_ogołem,31374
011212318000,Powiat wadowicki,2021,historyczny,wiek_poprodukcyjny_ogołem,31774
011212318000,Powiat wadowicki,2022,historyczny,wiek_poprodukcyjny_ogołem,32397
011212318000,Powiat wadowicki,2023,historyczny,wiek_poprodukcyjny_ogołem,33024
011212318000,Powiat wadowicki,2024,historyczny,wiek_poprodukcyjny_ogołem,33653
011212402000,Powiat brzeski,2015,historyczny,wiek_poprodukcyjny_ogołem,15683
011212402000,Powiat brzeski,2016,historyczny,wiek_poprodukcyjny_ogołem,16056
011212402000,Powiat brzeski,2017,historyczny,wiek_poprodukcyjny_ogołem,16464
011212402000,Powiat brzeski,2018,historyczny,wiek_poprodukcyjny_ogołem,16933
011212402000,Powiat brzeski,2019,historyczny,wiek_poprodukcyjny_ogołem,17358
011212402000,Powiat brzeski,2020,historyczny,wiek_poprodukcyjny_ogołem,17719
011212402000,Powiat brzeski,2021,historyczny,wiek_poprodukcyjny_ogołem,17938
011212402000,Powiat brzeski,2022,historyczny,wiek_poprodukcyjny_ogołem,18311
011212402000,Powiat brzeski,2023,historyczny,wiek_poprodukcyjny_ogołem,18715
011212402000,Powiat brzeski,2024,historyczny,wiek_poprodukcyjny_ogołem,19091
