teryt_powiat,powiat,rok,populacja_65plus,zmienna_id,zmienna_nazwa
011212207000,Powiat limanowski,2020,0,2137,Ludność w wieku 65 lat i więcej
011212207000,Powiat limanowski,2021,0,2137,Ludność w wieku 65 lat i więcej
011212207000,Powiat limanowski,2022,0,2137,Ludność w wieku 65 lat i więcej
011212207000,Powiat limanowski,2023,0,2137,Ludność w wieku 65 lat i więcej
011212210000,Powiat nowosądecki,2015,972,2137,Ludność w wieku 65 lat i więcej
011212210000,Powiat nowosądecki,2016,75,2137,Ludność w wieku 65 lat i więcej
011212210000,Powiat nowosądecki,2017,0,2137,Ludność w wieku 65 lat i więcej
011212210000,Powiat nowosądecki,2018,0,2137,Ludność w wieku 65 lat i więcej
011212210000,Powiat nowosądecki,2019,0,2137,Ludność w wieku 65 lat i więcej
011212210000,Powiat nowosądecki,2020,240,2137,Ludność w wieku 65 lat i więcej
011212210000,Powiat nowosądecki,2021,3552,2137,Ludność w wieku 65 lat i więcej
011212210000,Powiat nowosądecki,2022,0,2137,Ludność w wieku 65 lat i więcej
011212210000,Powiat nowosądecki,2023,132,2137,Ludność w wieku 65 lat i więcej
011212262000,Powiat m. Nowy Sącz,2015,0,2137,Ludność w wieku 65 lat i więcej
011212262000,Powiat m. Nowy Sącz,2016,0,2137,Ludność w wieku 65 lat i więcej
011212262000,Powiat m. Nowy Sącz,2017,0,2137,Ludność w wieku 65 lat i więcej
011212262000,Powiat m. Nowy Sącz,2018,0,2137,Ludność w wieku 65 lat i więcej
011212262000,Powiat m. Nowy Sącz,2019,0,2137,Ludność w wieku 65 lat i więcej
011212262000,Powiat m. Nowy Sącz,2020,0,2137,Ludność w wieku 65 lat i więcej
011212262000,Powiat m. Nowy Sącz,2021,0,2137,Ludność w wieku 65 lat i więcej
011212262000,Powiat m. Nowy Sącz,2022,0,2137,Ludność w wieku 65 lat i więcej
011212262000,Powiat m. Nowy Sącz,2023,0,2137,Ludność w wieku 65 lat i więcej
011212303000,Powiat chrzanowski,2015,0,2137,Ludność w wieku 65 lat i więcej
011212303000,Powiat chrzanowski,2016,0,2137,Ludność w wieku 65 lat i więcej
011212303000,Powiat chrzanowski,2017,0,2137,Ludność w wieku 65 lat i więcej
011212303000,Powiat chrzanowski,2018,0,2137,Ludność w wieku 65 lat i więcej
011212303000,Powiat chrzanowski,2019,0,2137,Ludność w wieku 65 lat i więcej
011212303000,Powiat chrzanowski,2020,0,2137,Ludność w wieku 65 lat i więcej
011212303000,Powiat chrzanowski,2021,0,2137,Ludność w wieku 65 lat i więcej
011212303000,Powiat chrzanowski,2022,0,2137,Ludność w wieku 65 lat i więcej
011212303000,Powiat chrzanowski,2023,0,2137,Ludność w wieku 65 lat i więcej
011212312000,Powiat olkuski,2015,0,2137,Ludność w wieku 65 lat i więcej
011212312000,Powiat olkuski,2016,0,2137,Ludność w wieku 65 lat i więcej
011212312000,Powiat olkuski,2017,0,2137,Ludność w wieku 65 lat i więcej
011212312000,Powiat olkuski,2018,0,2137,Ludność w wieku 65 lat i więcej
011212312000,Powiat olkuski,2019,0,2137,Ludność w wieku 65 lat i więcej
011212312000,Powiat olkuski,2020,0,2137,Ludność w wieku 65 lat i więcej
011212312000,Powiat olkuski,2021,0,2137,Ludność w wieku 65 lat i więcej
011212312000,Powiat olkuski,2022,10,2137,Ludność w wieku 65 lat i więcej
011212312000,Powiat olkuski,2023,0,2137,Ludność w wieku 65 lat i więcej
011212313000,Powiat oświęcimski,2015,0,2137,Ludność w wieku 65 lat i więcej
011212313000,Powiat oświęcimski,2016,0,2137,Ludność w wieku 65 lat i więcej
011212313000,Powiat oświęcimski,2017,0,2137,Ludność w wieku 65 lat i więcej
011212313000,Powiat oświęcimski,2018,0,2137,Ludność w wieku 65 lat i więcej
011212313000,Powiat oświęcimski,2019,2346,2137,Ludność w wieku 65 lat i więcej
011212313000,Powiat oświęcimski,2020,0,2137,Ludność w wieku 65 lat i więcej
011212313000,Powiat oświęcimski,2021,0,2137,Ludność w wieku 65 lat i więcej
011212313000,Powiat oświęcimski,2022,0,2137,Ludność w wieku 65 lat i więcej
011212313000,Powiat oświęcimski,2023,0,2137,Ludność w wieku 65 lat i więcej
011212318000,Powiat wadowicki,2015,0,2137,Ludność w wieku 65 lat i więcej
011212318000,Powiat wadowicki,2016,0,2137,Ludność w wieku 65 lat i więcej
011212318000,Powiat wadowicki,2017,0,2137,Ludność w wieku 65 lat i więcej
011212318000,Powiat wadowicki,2018,0,2137,Ludność w wieku 65 lat i więcej
011212318000,Powiat wadowicki,2019,0,2137,Ludność w wieku 65 lat i więcej
011212318000,Powiat wadowicki,2020,0,2137,Ludność w wieku 65 lat i więcej
011212318000,Powiat wadowicki,2021,0,2137,Ludność w wieku 65 lat i więcej
011212318000,Powiat wadowicki,2022,0,2137,Ludność w wieku 65 lat i więcej
011212318000,Powiat wadowicki,2023,300,2137,Ludność w wieku 65 lat i więcej
011212402000,Powiat brzeski,2015,0,2137,Ludność w wieku 65 lat i więcej
011212402000,Powiat brzeski,2016,0,2137,Ludność w wieku 65 lat i więcej
011212402000,Powiat brzeski,2017,0,2137,Ludność w wieku 65 lat i więcej
011212402000,Powiat brzeski,2018,0,2137,Ludność w wieku 65 lat i więcej
011212402000,Powiat brzeski,2019,0,2137,Ludność w wieku 65 lat i więcej
011212402000,Powiat brzeski,2020,0,2137,Ludność w wieku 65 lat i więcej
011212402000,Powiat brzeski,2021,0,2137,Ludność w wieku 65 lat i więcej
011212402000,Powiat brzeski,2022,0,2137,Ludność w wieku 65 lat i więcej
011212402000,Powiat brzeski,2023,0,2137,Ludność w wieku 65 lat i więcej
011212404000,Powiat dąbrowski,2015,0,2137,Ludność w wieku 65 lat i więcej
011212404000,Powiat dąbrowski,2016,0,2137,Ludność w wieku 65 lat i więcej
011212404000,Powiat dąbrowski,2017,0,2137,Ludność w wieku 65 lat i więcej
011212404000,Powiat dąbrowski,2018,0,2137,Ludność w wieku 65 lat i więcej
011212404000,Powiat dąbrowski,2019,0,2137,Ludność w wieku 65 lat i więcej
011212404000,Powiat dąbrowski,2020,0,2137,Ludność w wieku 65 lat i więcej
011212404000,Powiat dąbrowski,2021,0,2137,Ludność w wieku 65 lat i więcej
011212404000,Powiat dąbrowski,2022,0,2137,Ludność w wieku 65 lat i więcej
011212404000,Powiat dąbrowski,2023,0,2137,Ludność w wieku 65 lat i więcej
011212416000,Powiat tarnowski,2015,0,2137,Ludność w wieku 65 lat i więcej
011212416000,Powiat tarnowski,2016,0,2137,Ludność w wieku 65 lat i więcej
