wojewodztwo,rok,wskaznik,wartosc_zl,zrodlo_provider,zrodlo_var_id,zrodlo_subject,zrodlo_url_api,zrodlo_url_www,zrodlo_pobrano
LUBUSKIE,2021,emerytura_zus,2466.05,GUS BDL (Bank Danych Lokalnych),155058,P2860,https://bdl.stat.gov.pl/api/v1/data/by-variable/155058?unit-level=2&format=json,https://bdl.stat.gov.pl/BDL/dane/podgrup/tablica?rok=0&id=P2860,2026-05-10
LUBUSKIE,2022,emerytura_zus,2706.91,GUS BDL (Bank Danych Lokalnych),155058,P2860,https://bdl.stat.gov.pl/api/v1/data/by-variable/155058?unit-level=2&format=json,https://bdl.stat.gov.pl/BDL/dane/podgrup/tablica?rok=0&id=P2860,2026-05-10
LUBUSKIE,2023,emerytura_zus,3197.86,GUS BDL (Bank Danych Lokalnych),155058,P2860,https://bdl.stat.gov.pl/api/v1/data/by-variable/155058?unit-level=2&format=json,https://bdl.stat.gov.pl/BDL/dane/podgrup/tablica?rok=0&id=P2860,2026-05-10
LUBUSKIE,2024,emerytura_zus,3656.35,GUS BDL (Bank Danych Lokalnych),155058,P2860,https://bdl.stat.gov.pl/api/v1/data/by-variable/155058?unit-level=2&format=json,https://bdl.stat.gov.pl/BDL/dane/podgrup/tablica?rok=0&id=P2860,2026-05-10
LUBUSKIE,2025,emerytura_zus,3973.59,GUS BDL (Bank Danych Lokalnych),155058,P2860,https://bdl.stat.gov.pl/api/v1/data/by-variable/155058?unit-level=2&format=json,https://bdl.stat.gov.pl/BDL/dane/podgrup/tablica?rok=0&id=P2860,2026-05-10
WIELKOPOLSKIE,2015,emerytura_zus,2040.13,GUS BDL (Bank Danych Lokalnych),155058,P2860,https://bdl.stat.gov.pl/api/v1/data/by-variable/155058?unit-level=2&format=json,https://bdl.stat.gov.pl/BDL/dane/podgrup/tablica?rok=0&id=P2860,2026-05-10
WIELKOPOLSKIE,2016,emerytura_zus,2075.01,GUS BDL (Bank Danych Lokalnych),155058,P2860,https://bdl.stat.gov.pl/api/v1/data/by-variable/155058?unit-level=2&format=json,https://bdl.stat.gov.pl/BDL/dane/podgrup/tablica?rok=0&id=P2860,2026-05-10
WIELKOPOLSKIE,2017,emerytura_zus,2128.21,GUS BDL (Bank Danych Lokalnych),155058,P2860,https://bdl.stat.gov.pl/api/v1/data/by-variable/155058?unit-level=2&format=json,https://bdl.stat.gov.pl/BDL/dane/podgrup/tablica?rok=0&id=P2860,2026-05-10
WIELKOPOLSKIE,2018,emerytura_zus,2210.86,GUS BDL (Bank Danych Lokalnych),155058,P2860,https://bdl.stat.gov.pl/api/v1/data/by-variable/155058?unit-level=2&format=json,https://bdl.stat.gov.pl/BDL/dane/podgrup/tablica?rok=0&id=P2860,2026-05-10
WIELKOPOLSKIE,2019,emerytura_zus,2307.03,GUS BDL (Bank Danych Lokalnych),155058,P2860,https://bdl.stat.gov.pl/api/v1/data/by-variable/155058?unit-level=2&format=json,https://bdl.stat.gov.pl/BDL/dane/podgrup/tablica?rok=0&id=P2860,2026-05-10
WIELKOPOLSKIE,2020,emerytura_zus,2428.3,GUS BDL (Bank Danych Lokalnych),155058,P2860,https://bdl.stat.gov.pl/api/v1/data/by-variable/155058?unit-level=2&format=json,https://bdl.stat.gov.pl/BDL/dane/podgrup/tablica?rok=0&id=P2860,2026-05-10
